id, node_color
2201181, FOR
2274201, FOR
5536782, DIVERSE
7970992, DIVERSE
8095632, FOR
9930302, FOR
14407142, FOR
14487000, FOR
14513512, DIVERSE
14803493, FOR
15111744, FOR
16248292, FOR
16624525, FOR
18252164, FOR
18844673, DIVERSE
21854062, FOR
22696589, FOR
22855901, FOR
33642558, FOR
34350579, FOR
35688611, FOR
36636494, DIVERSE
40498330, FOR
42105589, FOR
42196320, FOR
44860908, FOR
47140440, FOR
48280879, FOR
49054004, FOR
51096905, FOR
51181826, FOR
52032722, DIVERSE
52067288, FOR
52357763, DIVERSE
52695697, FOR
53059376, DIVERSE
55387911, FOR
56643210, FOR
57967388, FOR
58017260, FOR
60688014, FOR
61726222, DIVERSE
65614363, FOR
71516564, DIVERSE
73813160, DIVERSE
75642402, DIVERSE
75997536, FOR
77165468, FOR
77685623, FOR
77698661, FOR
80573898, FOR
80886145, AGAINST
82477460, FOR
86266936, FOR
89221733, DIVERSE
91777826, FOR
93491791, DIVERSE
94607562, DIVERSE
97232128, FOR
97508178, FOR
98171528, FOR
100201393, FOR
103591569, DIVERSE
103973147, FOR
104553834, FOR
105556464, DIVERSE
106071386, FOR
107686519, FOR
109035884, DIVERSE
111304633, FOR
116563859, FOR
118970094, DIVERSE
119907791, FOR
121237558, DIVERSE
122597939, FOR
125273218, FOR
129790596, FOR
130850511, DIVERSE
132727343, DIVERSE
133266187, DIVERSE
133917845, FOR
136371519, FOR
136982031, FOR
137140334, DIVERSE
138579657, DIVERSE
139646874, FOR
142079464, FOR
146159534, FOR
148306893, FOR
151208879, FOR
157102137, FOR
158534282, FOR
160590039, FOR
161113335, FOR
161858629, DIVERSE
162385414, FOR
163041731, FOR
164709694, FOR
165133475, FOR
165908624, FOR
166566887, FOR
167231567, FOR
167990892, FOR
168755227, FOR
171244078, FOR
173308078, FOR
174594415, FOR
177154260, FOR
178268100, FOR
179131660, FOR
179897514, FOR
181274223, DIVERSE
182473366, FOR
188340836, FOR
189890093, FOR
191803770, FOR
195793173, FOR
198597387, DIVERSE
202923888, DIVERSE
203141184, FOR
204298620, DIVERSE
210830814, FOR
211230263, FOR
211327080, FOR
216072176, FOR
216289357, FOR
217263597, FOR
217903646, FOR
218447421, FOR
218686571, FOR
219502737, FOR
220892003, FOR
221022658, DIVERSE
221632853, FOR
223542220, FOR
224597174, DIVERSE
226571407, FOR
228504747, FOR
229980720, DIVERSE
230702066, FOR
230971152, FOR
234001751, FOR
237020752, FOR
237826721, DIVERSE
238897491, FOR
239600665, DIVERSE
239703819, FOR
240383600, FOR
242673662, DIVERSE
243119327, DIVERSE
243253280, DIVERSE
243413591, FOR
243419888, DIVERSE
243589241, FOR
243687497, FOR
243715559, FOR
243767514, FOR
243775933, FOR
244117351, FOR
245880979, DIVERSE
246007472, FOR
246151121, FOR
246188109, DIVERSE
246317561, FOR
246401119, FOR
246470691, FOR
246559862, FOR
246702519, FOR
246747627, FOR
246754124, FOR
246784076, FOR
246974197, FOR
247227134, FOR
247252383, DIVERSE
247264510, FOR
247468980, FOR
247786110, FOR
247842392, FOR
247912552, FOR
248100375, FOR
248188034, AGAINST
248296799, FOR
248380989, FOR
248788313, FOR
249073389, FOR
249086420, FOR
249144163, DIVERSE
249654545, FOR
249920087, FOR
250234024, FOR
250277785, FOR
250295048, FOR
250583785, FOR
250615892, FOR
250804389, FOR
251100437, FOR
251802413, FOR
252254904, FOR
252470942, FOR
252957203, FOR
253238222, FOR
253670459, FOR
254223005, AGAINST
254665376, FOR
254681551, FOR
255247533, FOR
255587866, FOR
255747184, FOR
255935216, DIVERSE
256028009, FOR
256502193, FOR
257109468, FOR
257257669, FOR
257449330, DIVERSE
257474300, FOR
257651159, FOR
257841422, FOR
258090997, FOR
258341683, FOR
258366073, DIVERSE
258712643, FOR
258941240, FOR
259044967, FOR
259512427, FOR
259617134, FOR
259811618, FOR
260096049, DIVERSE
260454625, FOR
260723375, FOR
260801128, FOR
261195951, FOR
261730716, FOR
262222255, DIVERSE
262819428, FOR
263099022, FOR
263431314, FOR
263543391, FOR
263728080, FOR
263891746, FOR
264497768, DIVERSE
266127584, FOR
267086129, FOR
267714517, DIVERSE
268545568, FOR
269267683, FOR
269512392, FOR
270807858, FOR
270847696, FOR
271063299, FOR
271127943, FOR
272066797, FOR
274530882, DIVERSE
274895833, DIVERSE
275423516, FOR
275694766, FOR
275942684, DIVERSE
276107545, FOR
277173857, FOR
277558388, FOR
279992686, FOR
280393461, FOR
280434016, FOR
280438883, FOR
280541144, DIVERSE
280664663, FOR
280996498, DIVERSE
281097403, FOR
281160360, FOR
281269490, FOR
281963698, FOR
282065689, FOR
282220110, FOR
283675957, FOR
284655413, FOR
284752825, FOR
285620504, FOR
286577558, FOR
287118704, FOR
289818218, FOR
290072000, AGAINST
290178890, DIVERSE
290632880, FOR
290722577, DIVERSE
291394918, FOR
291708847, FOR
291908441, FOR
291935746, FOR
293157670, FOR
293534138, FOR
293779755, AGAINST
294268960, FOR
294513254, FOR
295113790, FOR
296264702, FOR
297419374, DIVERSE
298445092, FOR
298574946, FOR
298664575, FOR
301120393, FOR
301883514, FOR
303904518, FOR
304997177, FOR
305587868, DIVERSE
305604415, FOR
306260807, FOR
306967618, FOR
308111146, FOR
308416877, DIVERSE
310553563, FOR
318266377, FOR
319665785, FOR
319901569, DIVERSE
320954038, FOR
321000177, FOR
321289331, FOR
323870386, FOR
324495928, FOR
325675081, FOR
326032237, FOR
326074480, FOR
326117650, FOR
326987255, FOR
327722701, FOR
328206473, FOR
329366011, FOR
329681052, FOR
331107509, FOR
331206364, FOR
332589385, FOR
334057976, FOR
334670309, FOR
336851152, DIVERSE
339409458, FOR
340968723, FOR
343649021, FOR
345288012, FOR
346145376, FOR
350342530, FOR
351220076, FOR
351328127, DIVERSE
351492201, FOR
352276488, FOR
352400028, DIVERSE
353011926, FOR
354779022, FOR
356329385, FOR
357072061, FOR
357239860, FOR
358040356, FOR
358428007, FOR
359605953, FOR
360771414, FOR
362288996, FOR
363246406, FOR
363575015, FOR
363845524, DIVERSE
368142886, FOR
369608964, DIVERSE
370093073, DIVERSE
370539567, FOR
370556715, DIVERSE
371296751, FOR
373013500, FOR
373866126, FOR
374963228, FOR
375468504, FOR
375890746, FOR
377062312, DIVERSE
377220633, FOR
378231256, DIVERSE
380199423, FOR
380547397, FOR
381139190, FOR
382207674, FOR
382829962, FOR
384230724, FOR
384429991, FOR
385315022, FOR
385350273, FOR
385535951, FOR
386451877, FOR
390731294, FOR
390929996, DIVERSE
392738791, FOR
394830809, FOR
394864353, FOR
396257932, FOR
396409525, FOR
396471243, FOR
396819403, FOR
397528198, FOR
398171803, FOR
398650978, FOR
398702874, FOR
399963628, FOR
401936977, FOR
402111181, FOR
402577911, FOR
402773034, FOR
404218794, FOR
407904632, FOR
408901457, FOR
410523759, FOR
410955818, DIVERSE
411346195, FOR
411514625, FOR
413260037, FOR
413841846, FOR
414187574, DIVERSE
414702486, FOR
415068032, FOR
415414097, DIVERSE
415945099, FOR
416440594, FOR
416508799, FOR
416907987, FOR
417016643, FOR
418129824, FOR
418443466, FOR
418661016, FOR
418731185, FOR
419233834, FOR
419765116, FOR
421110584, DIVERSE
421721826, DIVERSE
421890530, FOR
424194891, FOR
425687930, FOR
425912197, FOR
426343125, FOR
427713095, FOR
429054222, FOR
429220230, FOR
429746606, FOR
429749064, FOR
431337155, FOR
432424572, FOR
432618159, DIVERSE
432844043, DIVERSE
432897186, FOR
433652865, FOR
434211968, FOR
436462735, FOR
438582009, DIVERSE
439923979, FOR
441092915, FOR
441893248, FOR
442823413, FOR
442854414, FOR
443215977, FOR
443621240, FOR
444875725, FOR
445152825, FOR
445293273, FOR
446318129, FOR
448374467, FOR
450704412, FOR
451334972, FOR
452368170, FOR
453103180, FOR
453428269, FOR
455143024, FOR
455922779, FOR
455986864, DIVERSE
456952968, FOR
457628357, DIVERSE
458334386, FOR
458777194, FOR
460729951, FOR
463854509, FOR
464677630, FOR
464820783, FOR
464834664, DIVERSE
465003239, FOR
465021404, FOR
466365822, FOR
466446202, FOR
466891880, FOR
469452662, FOR
469544027, FOR
475243789, DIVERSE
475258943, FOR
476155432, FOR
476356296, FOR
476578025, FOR
480730115, FOR
482201683, FOR
484041950, FOR
487801792, FOR
488502963, FOR
490086192, FOR
490278322, FOR
490866101, DIVERSE
491283324, FOR
493918460, FOR
497289899, FOR
497318529, FOR
500669870, FOR
501961323, FOR
502727058, FOR
504871395, FOR
508780354, FOR
508968685, FOR
512983828, FOR
516906022, FOR
518174591, FOR
518476056, FOR
518633657, FOR
520407281, FOR
522443758, FOR
524283877, FOR
526343521, FOR
527414250, FOR
531611055, DIVERSE
532062445, FOR
533642320, DIVERSE
536255416, FOR
542066844, FOR
542546670, FOR
543094851, FOR
544819364, FOR
546253369, FOR
546360880, FOR
548331624, FOR
549730386, FOR
549912548, FOR
551570668, FOR
551775993, FOR
552036793, FOR
552747318, FOR
552909996, FOR
553785251, FOR
561526649, FOR
563885375, FOR
567229050, FOR
567564394, FOR
572495887, FOR
573759957, FOR
575277349, DIVERSE
580784580, FOR
581201435, FOR
582824520, FOR
582847221, FOR
582983147, DIVERSE
584008851, FOR
584173449, FOR
585921481, FOR
586845018, FOR
587672411, FOR
589312618, FOR
589945080, FOR
592031222, FOR
592314798, FOR
592430311, FOR
592697482, FOR
594373879, FOR
595946021, FOR
596462582, FOR
597101298, FOR
599267971, FOR
600360975, FOR
601191079, DIVERSE
603664587, FOR
608149239, FOR
612992455, FOR
615314107, FOR
616278725, DIVERSE
618397880, FOR
620475726, FOR
621857308, FOR
622054128, FOR
623245482, FOR
623713856, FOR
624557599, DIVERSE
624686972, FOR
625407310, AGAINST
625582633, FOR
626375784, FOR
630606857, FOR
631477430, FOR
633316824, FOR
634658827, FOR
635576995, FOR
700268907, AGAINST
701054891, FOR
709327033, FOR
712078254, DIVERSE
714472614, FOR
714586656, FOR
715219325, DIVERSE
721858813, FOR
722409378, FOR
728704327, FOR
731326188, FOR
731979691, FOR
737493661, FOR
744096607, FOR
750186930, FOR
754335954, FOR
774667758, FOR
774724850, FOR
780305640, FOR
782065844, FOR
783313538, FOR
787211599, DIVERSE
793643882, FOR
797862444, FOR
798174793, FOR
801866851, FOR
805032212, FOR
810987649, FOR
811083272, FOR
814873350, FOR
824840480, FOR
829245931, FOR
832893523, FOR
836508619, FOR
844063729, FOR
849261552, FOR
856930862, FOR
857666161, FOR
857868018, FOR
859195092, FOR
868275978, FOR
880876537, FOR
885493015, FOR
886724197, FOR
891085214, FOR
891448122, FOR
895573358, FOR
897501056, DIVERSE
899583475, FOR
900397296, FOR
910035918, FOR
916943462, AGAINST
919558969, DIVERSE
927351564, DIVERSE
930331530, FOR
930529058, FOR
933119761, FOR
933132060, FOR
937966807, FOR
938384833, FOR
941413286, DIVERSE
945807127, FOR
956175625, FOR
961361910, FOR
962333706, FOR
965981040, FOR
966216336, FOR
966780174, FOR
968573936, FOR
970827391, FOR
974334108, FOR
974476958, FOR
974599621, FOR
974709871, FOR
975400962, FOR
978504584, FOR
978763766, FOR
987291642, FOR
990740844, FOR
992111130, DIVERSE
993276918, FOR
995569525, FOR
995787391, FOR
996016508, FOR
996619939, FOR
996705444, DIVERSE
997139719, FOR
997902067, FOR
999015997, DIVERSE
999319958, FOR
1002174710, FOR
1002650592, DIVERSE
1002844374, DIVERSE
1002901490, FOR
1006023000, FOR
1011066157, FOR
1011455700, FOR
1012325527, FOR
1018255609, FOR
1020142826, FOR
1032166495, FOR
1032772153, FOR
1033647480, FOR
1034334733, FOR
1035774085, FOR
1040606600, FOR
1041371010, FOR
1042693506, FOR
1050858158, FOR
1052277074, FOR
1061600605, FOR
1066043922, FOR
1068317078, FOR
1079047122, FOR
1086973130, FOR
1090596031, FOR
1092542761, FOR
1095915684, FOR
1103047946, FOR
1104281780, FOR
1105871287, FOR
1106086345, FOR
1112010584, FOR
1116691280, FOR
1118879774, FOR
1119263600, DIVERSE
1123617872, FOR
1128993427, FOR
1133951125, FOR
1134792108, FOR
1136829066, FOR
1137203731, DIVERSE
1140128216, FOR
1140667105, FOR
1140789020, FOR
1143380820, FOR
1149393944, FOR
1157901540, FOR
1158217405, FOR
1173187458, FOR
1183658534, DIVERSE
1184449032, FOR
1191248822, DIVERSE
1191602641, FOR
1194109814, DIVERSE
1197964688, FOR
1201217755, FOR
1203080628, FOR
1203570097, FOR
1212626137, FOR
1215196014, FOR
1223111760, FOR
1227011635, FOR
1250295290, FOR
1257203264, FOR
1259129132, DIVERSE
1263104942, FOR
1264712738, FOR
1268283554, FOR
1269489475, FOR
1276162490, DIVERSE
1277441556, FOR
1277585012, FOR
1278543582, FOR
1280752188, FOR
1281394392, FOR
1296719946, FOR
1303720952, FOR
1311797288, FOR
1314227408, FOR
1314408758, FOR
1318153052, DIVERSE
1319102905, FOR
1321331874, FOR
1323467154, FOR
1324866643, FOR
1331108335, FOR
1331301061, FOR
1337487372, FOR
1339344901, DIVERSE
1340258599, FOR
1340284172, FOR
1343177136, FOR
1344707473, FOR
1346395603, FOR
1348074644, FOR
1372859832, FOR
1382376949, FOR
1383397482, FOR
1385863352, FOR
1388341172, FOR
1391605016, FOR
1402376521, FOR
1406211186, FOR
1418694061, FOR
1419142478, FOR
1419314353, FOR
1420762447, FOR
1425526302, FOR
1428355872, DIVERSE
1435417081, FOR
1438404972, FOR
1460798930, FOR
1467953096, FOR
1481808284, FOR
1485959052, FOR
1492367546, FOR
1494110238, FOR
1506170269, DIVERSE
1514809514, DIVERSE
1519289173, FOR
1520181313, FOR
1529698447, FOR
1534584852, FOR
1539719550, FOR
1548221952, DIVERSE
1553726474, FOR
1558789628, FOR
1560653971, FOR
1561754378, DIVERSE
1565018018, FOR
1565652266, FOR
1566671071, DIVERSE
1568597401, FOR
1570421118, FOR
1571237318, FOR
1573631304, FOR
1576116846, FOR
1579834320, FOR
1586854567, FOR
1591529323, FOR
1593211040, FOR
1593480284, FOR
1596716028, FOR
1610094054, FOR
1611310730, FOR
1617648258, DIVERSE
1628921239, FOR
1631772103, FOR
1635306542, FOR
1641459038, DIVERSE
1654242836, FOR
1657004690, FOR
1657421766, FOR
1664756965, FOR
1665475375, FOR
1672277354, FOR
1673072192, FOR
1674151711, FOR
1674182551, FOR
1680934333, FOR
1682896310, FOR
1684309638, FOR
1686935504, FOR
1696825494, FOR
1697458044, FOR
1701616772, FOR
1704039354, DIVERSE
1707859914, DIVERSE
1726649989, FOR
1728380701, FOR
1729699520, FOR
1843123872, FOR
1856606750, FOR
1868108316, FOR
1871994199, DIVERSE
1887896845, FOR
1894335781, FOR
1896335052, DIVERSE
1900215307, DIVERSE
1904138971, DIVERSE
1909374792, FOR
1913920926, DIVERSE
1915568922, FOR
1917661567, FOR
1927514377, DIVERSE
1938878996, FOR
1958127235, FOR
1968672823, FOR
2149025308, FOR
2154420058, FOR
2155529002, FOR
2156589938, FOR
2160833119, FOR
2165403949, DIVERSE
2165607934, FOR
2171096963, FOR
2172473723, FOR
2172490942, FOR
2172860635, FOR
2176137460, FOR
2181760339, FOR
2183429520, FOR
2185059396, FOR
2191892464, FOR
2192614378, FOR
2204591990, FOR
2205530964, FOR
2210277582, FOR
2214185372, FOR
2219659092, DIVERSE
2222192868, FOR
2223258386, FOR
2223737807, FOR
2224962036, FOR
2229783187, FOR
2230009800, FOR
2243524257, FOR
2243855627, DIVERSE
2249591503, DIVERSE
2254334481, FOR
2258288874, DIVERSE
2260383145, FOR
2263209383, FOR
2263344401, FOR
2263897311, FOR
2270622367, FOR
2277166103, DIVERSE
2279394056, FOR
2282524958, FOR
2291448871, AGAINST
2292758505, FOR
2293229845, FOR
2293590755, FOR
2297149007, FOR
2297692483, FOR
2304534336, FOR
2306619133, FOR
2307264856, FOR
2316138426, DIVERSE
2319225526, FOR
2319472112, FOR
2323150172, FOR
2325738835, FOR
2335914176, FOR
2339155705, FOR
2340138522, DIVERSE
2341078132, FOR
2347795973, FOR
2352970223, FOR
2355396143, FOR
2355837976, FOR
2361399080, FOR
2366876831, FOR
2371981753, FOR
2374218816, FOR
2394147874, FOR
2399339752, FOR
2399636055, FOR
2407078978, FOR
2410896149, FOR
2412528170, FOR
2414842548, FOR
2416026348, FOR
2417148120, FOR
2421459234, FOR
2430735934, FOR
2433403609, FOR
2433468680, FOR
2434118359, FOR
2434472298, FOR
2437047056, FOR
2437430565, FOR
2437571720, FOR
2437605457, FOR
2438825752, FOR
2439895124, FOR
2440383767, FOR
2441484007, FOR
2446206910, FOR
2446738307, FOR
2447879638, FOR
2449380489, DIVERSE
2450520259, FOR
2451056691, FOR
2452783827, FOR
2453890849, FOR
2455441506, FOR
2458211434, DIVERSE
2462871707, FOR
2465152075, FOR
2466307496, FOR
2469341061, FOR
2470783842, DIVERSE
2474168684, DIVERSE
2474654286, FOR
2474964218, FOR
2475077852, FOR
2476049168, FOR
2479478798, FOR
2484408874, FOR
2484697919, DIVERSE
2485620444, FOR
2490274032, FOR
2493114751, FOR
2495442299, FOR
2500809882, DIVERSE
2502138404, DIVERSE
2503914708, FOR
2504173933, FOR
2504668991, DIVERSE
2506738925, FOR
2516672642, FOR
2519958769, FOR
2520773750, FOR
2530216176, FOR
2536004080, FOR
2543742594, DIVERSE
2544099769, FOR
2548301274, FOR
2553938190, DIVERSE
2573969974, FOR
2578945608, FOR
2579601745, FOR
2580174954, DIVERSE
2582582359, DIVERSE
2586356880, FOR
2587029252, FOR
2592887184, FOR
2594563700, DIVERSE
2598427876, FOR
2605741696, FOR
2638628014, FOR
2664101982, FOR
2684813765, FOR
2695368146, FOR
2699106120, AGAINST
2711641532, FOR
2717929405, FOR
2718050437, FOR
2719968489, DIVERSE
2724628275, FOR
2727642345, FOR
2737960684, FOR
2739176331, FOR
2742009028, FOR
2757004405, FOR
2760399726, FOR
2764298463, FOR
2767169867, FOR
2767955801, FOR
2767984869, FOR
2779351548, FOR
2788777524, FOR
2792054681, FOR
2792349332, AGAINST
2792971701, FOR
2793115700, DIVERSE
2802464228, FOR
2803285596, FOR
2804725461, FOR
2808688046, FOR
2811948510, FOR
2816925741, FOR
2820698229, FOR
2830151974, FOR
2837285770, FOR
2838205331, FOR
2843113073, FOR
2843702977, FOR
2846687483, FOR
2847050771, FOR
2850201220, FOR
2851523843, FOR
2859233189, DIVERSE
2861144914, FOR
2865854586, FOR
2869599169, FOR
2871337760, FOR
2879877703, DIVERSE
2881812869, FOR
2882723208, FOR
2885966647, FOR
2891580468, FOR
2906014770, FOR
2906797270, FOR
2907558513, DIVERSE
2909107988, FOR
2910159072, DIVERSE
2912596930, DIVERSE
2920090551, FOR
2926325320, DIVERSE
2930477478, FOR
2933286563, FOR
2937110937, FOR
2940923811, FOR
2945521286, FOR
2946131592, FOR
2946640166, FOR
2948787802, DIVERSE
2951658069, FOR
2952265706, FOR
2954089838, FOR
2955134697, FOR
2955998474, FOR
2957674343, DIVERSE
2960880208, FOR
2965603430, FOR
2969495943, FOR
2970144881, FOR
2970510164, FOR
2971173940, FOR
2974756278, FOR
2975134840, FOR
2978308857, FOR
2978330167, FOR
2980418337, FOR
2982169550, FOR
2982302953, FOR
2983173476, FOR
2984416418, FOR
2991599403, FOR
2996903871, FOR
2998699488, FOR
3001146040, FOR
3001841688, FOR
3003603519, FOR
3005789992, FOR
3016889474, FOR
3017535223, FOR
3018337576, DIVERSE
3020646095, FOR
3021106225, FOR
3022993446, FOR
3035120220, FOR
3036240899, DIVERSE
3038508141, FOR
3040996306, FOR
3044767084, FOR
3053874632, FOR
3054113493, FOR
3055703094, FOR
3059821312, FOR
3065839685, FOR
3066923814, FOR
3067279450, FOR
3075912917, FOR
3079002699, FOR
3080791936, FOR
3082136626, FOR
3092907670, FOR
3094523876, FOR
3098099488, FOR
3100283920, FOR
3107308156, FOR
3107506948, DIVERSE
3115737168, FOR
3119808109, FOR
3123252045, FOR
3128007260, DIVERSE
3128735661, FOR
3141750279, DIVERSE
3142342714, FOR
3142496604, FOR
3143064810, FOR
3154036550, DIVERSE
3157915941, FOR
3160865981, FOR
3161817220, FOR
3164455697, FOR
3167020403, FOR
3177509134, FOR
3179778414, FOR
3184239994, FOR
3187929962, FOR
3194767183, FOR
3198368246, FOR
3201559666, FOR
3216759105, DIVERSE
3222608305, FOR
3225123970, FOR
3229591680, FOR
3231024969, FOR
3233928748, FOR
3237687960, FOR
3239148891, FOR
3243785709, FOR
3249747062, DIVERSE
3250425110, FOR
3255760140, FOR
3256651263, FOR
3260072099, FOR
3260615157, DIVERSE
3260993379, FOR
3269041302, FOR
3281850732, FOR
3289790009, FOR
3293354986, FOR
3293436133, FOR
3293758226, FOR
3293827769, FOR
3295932755, DIVERSE
3297116834, FOR
3298409216, FOR
3303029519, FOR
3306792800, FOR
3317569037, FOR
3318544431, FOR
3323870657, FOR
3327383174, FOR
3343233514, FOR
3351685043, FOR
3353013441, FOR
3360096724, FOR
3362625879, FOR
3393708244, FOR
3393921359, FOR
3395915127, FOR
3397618431, FOR
3399188782, FOR
3404633213, FOR
3406395203, DIVERSE
3407461359, FOR
3413314515, FOR
3413423644, FOR
3416393367, FOR
3422797221, FOR
3434708717, FOR
3435893926, FOR
3440420172, DIVERSE
3460304842, FOR
3568145595, FOR
3622813818, FOR
3638277432, FOR
3639201264, FOR
3642045557, FOR
3709280421, FOR
3792379403, FOR
3795619754, FOR
3802891169, FOR
3808926861, FOR
3816773441, DIVERSE
3855818667, FOR
3874530562, FOR
3875307647, FOR
3875336601, FOR
3883231714, FOR
3894331965, FOR
3917405725, FOR
3919576756, FOR
3927839296, DIVERSE
3952683857, FOR
3959228474, FOR
3998421520, FOR
4002145672, FOR
4015698976, AGAINST
4018903402, FOR
4035726395, FOR
4047133943, FOR
4060314911, FOR
4062300005, FOR
4078294313, FOR
4100006673, FOR
